[INFO]: ..........................START........................
[INFO]: ..........................START........................
[INFO]: Candle:2023-06-09 12:07:00 , Open:18626.7 , High:18629.55 , Low:18625.8 , Close:18629.0
[INFO]: Candle:2023-06-09 12:08:00 , Open:18629.7 , High:18632.45 , Low:18629.35 , Close:18631.45
[INFO]: Candle:2023-06-09 12:09:00 , Open:18631.1 , High:18632.75 , Low:18630.15 , Close:18632.3
[INFO]: Candle:2023-06-09 12:10:00 , Open:18631.95 , High:18637.4 , Low:18631.1 , Close:18635.95
[INFO]: Candle:2023-06-09 12:11:00 , Open:18636.85 , High:18638.45 , Low:18636.05 , Close:18636.5
[INFO]: Candle:2023-06-09 12:12:00 , Open:18636.35 , High:18636.95 , Low:18634.8 , Close:18636.45
[INFO]: Candle:2023-06-09 12:13:00 , Open:18636.05 , High:18637.0 , Low:18634.1 , Close:18636.25
[INFO]: Candle:2023-06-09 12:14:00 , Open:18635.7 , High:18636.4 , Low:18634.0 , Close:18634.75
[INFO]: Candle:2023-06-09 12:16:00 , Open:18634.9 , High:18635.75 , Low:18633.6 , Close:18633.6
[INFO]: Candle:2023-06-09 12:17:00 , Open:18633.75 , High:18634.45 , Low:18630.3 , Close:18630.3
[INFO]: Candle:2023-06-09 12:18:00 , Open:18630.35 , High:18631.95 , Low:18630.1 , Close:18631.15
[INFO]: Candle:2023-06-09 12:19:00 , Open:18631.2 , High:18632.25 , Low:18628.05 , Close:18629.1
[INFO]: Candle:2023-06-09 12:21:00 , Open:18626.25 , High:18627.4 , Low:18623.25 , Close:18627.0
[INFO]: Candle:2023-06-09 12:22:00 , Open:18627.15 , High:18632.95 , Low:18626.9 , Close:18632.65
[INFO]: Candle:2023-06-09 12:23:00 , Open:18632.4 , High:18633.7 , Low:18631.1 , Close:18633.2
[INFO]: Candle:2023-06-09 12:24:00 , Open:18632.55 , High:18633.2 , Low:18630.85 , Close:18631.55
[INFO]: Candle:2023-06-09 12:25:00 , Open:18632.05 , High:18632.95 , Low:18630.65 , Close:18630.65
[INFO]: Candle:2023-06-09 12:26:00 , Open:18631.25 , High:18631.25 , Low:18628.8 , Close:18629.85
[INFO]: Candle:2023-06-09 12:27:00 , Open:18629.75 , High:18630.45 , Low:18628.6 , Close:18628.6
[INFO]: Candle:2023-06-09 12:28:00 , Open:18628.6 , High:18628.85 , Low:18626.45 , Close:18627.45
[INFO]: Candle:2023-06-09 12:29:00 , Open:18627.4 , High:18630.7 , Low:18627.4 , Close:18630.7
